------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format M/d/yyyy at 30 Hz  Filter Normal -----------,,,
Serial Number: MOS2D42160427,,,
Start Time 14:13:00,,,
Start Date 4/20/2023,,,
Epoch Period (hh:mm:ss) 00:00:00,,,
Download Time 14:19:26,,,
Download Date 4/20/2023,,,
Current Memory Address: 0,,,
Current Battery Voltage: 4.17     Mode = 12,,,
--------------------------------------------------,,,
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
13:04.9,0.391,-0.063,-0.93
13:04.9,0.395,-0.066,-0.922
13:04.9,0.387,-0.066,-0.926
13:05.0,0.379,-0.063,-0.926
13:05.0,0.383,-0.051,-0.934
13:05.0,0.383,-0.063,-0.93
13:05.1,0.391,-0.066,-0.926
13:05.1,0.387,-0.063,-0.922
13:05.1,0.383,-0.066,-0.926
13:05.2,0.379,-0.063,-0.926
13:05.2,0.383,-0.066,-0.926
13:05.2,0.387,-0.066,-0.926
13:05.3,0.391,-0.07,-0.918
13:05.3,0.383,-0.063,-0.93
13:05.3,0.375,-0.063,-0.93
13:05.4,0.387,-0.066,-0.926
13:05.4,0.379,-0.059,-0.922
13:05.4,0.391,-0.07,-0.918
13:05.5,0.383,-0.066,-0.93
13:05.5,0.379,-0.051,-0.926
13:05.5,0.391,-0.074,-0.926
13:05.6,0.383,-0.063,-0.93
13:05.6,0.379,-0.059,-0.926
13:05.6,0.379,-0.063,-0.926
13:05.7,0.398,-0.074,-0.93
13:05.7,0.387,-0.063,-0.918
13:05.7,0.371,-0.059,-0.934
13:05.8,0.375,-0.066,-0.926
13:05.8,0.395,-0.082,-0.918
13:05.8,0.398,-0.07,-0.926
13:05.9,0.363,-0.059,-0.93
13:05.9,0.355,-0.055,-0.926
13:05.9,0.387,-0.063,-0.93
13:06.0,0.395,-0.07,-0.922
13:06.0,0.387,-0.063,-0.93
13:06.0,0.375,-0.063,-0.93
13:06.1,0.379,-0.063,-0.93
13:06.1,0.379,-0.063,-0.926
13:06.1,0.383,-0.066,-0.922
13:06.2,0.383,-0.066,-0.934
13:06.2,0.383,-0.066,-0.926
13:06.2,0.383,-0.063,-0.926
13:06.3,0.387,-0.066,-0.93
13:06.3,0.383,-0.063,-0.922
13:06.3,0.383,-0.063,-0.926
13:06.4,0.383,-0.066,-0.926
13:06.4,0.387,-0.063,-0.93
13:06.4,0.387,-0.059,-0.926
13:06.5,0.383,-0.066,-0.926
13:06.5,0.391,-0.055,-0.926
13:06.5,0.383,-0.063,-0.926
13:06.6,0.383,-0.066,-0.926
13:06.6,0.383,-0.059,-0.922
13:06.6,0.387,-0.063,-0.93
13:06.7,0.391,-0.07,-0.922
13:06.7,0.387,-0.078,-0.93
13:06.7,0.379,-0.063,-0.926
13:06.8,0.383,-0.066,-0.922
13:06.8,0.387,-0.066,-0.926
13:06.8,0.387,-0.07,-0.93
13:06.9,0.383,-0.063,-0.926
13:06.9,0.391,-0.07,-0.922
13:06.9,0.383,-0.063,-0.93
13:07.0,0.387,-0.07,-0.926
13:07.0,0.379,-0.051,-0.926
13:07.0,0.391,-0.066,-0.93
13:07.1,0.387,-0.074,-0.926
13:07.1,0.383,-0.066,-0.93
13:07.1,0.379,-0.066,-0.926
13:07.2,0.383,-0.066,-0.926
13:07.2,0.387,-0.07,-0.93
13:07.2,0.391,-0.078,-0.93
13:07.3,0.375,-0.063,-0.93
13:07.3,0.379,-0.055,-0.926
13:07.3,0.387,-0.066,-0.93
13:07.4,0.383,-0.07,-0.93
13:07.4,0.379,-0.066,-0.922
13:07.4,0.375,-0.066,-0.922
13:07.5,0.387,-0.066,-0.922
13:07.5,0.391,-0.051,-0.93
13:07.5,0.375,-0.066,-0.934
13:07.6,0.375,-0.063,-0.926
13:07.6,0.387,-0.066,-0.93
13:07.6,0.391,-0.066,-0.926
13:07.7,0.375,-0.07,-0.926
13:07.7,0.367,-0.059,-0.934
13:07.7,0.379,-0.063,-0.922
13:07.8,0.387,-0.07,-0.926
13:07.8,0.379,-0.066,-0.926
13:07.8,0.375,-0.063,-0.926
13:07.9,0.387,-0.063,-0.926
13:07.9,0.383,-0.066,-0.926
13:07.9,0.375,-0.07,-0.93
13:08.0,0.367,-0.066,-0.93
13:08.0,0.383,-0.059,-0.926
13:08.0,0.383,-0.063,-0.926
13:08.1,0.379,-0.063,-0.934
13:08.1,0.371,-0.066,-0.93
13:08.1,0.383,-0.066,-0.926
13:08.2,0.387,-0.066,-0.926
13:08.2,0.383,-0.063,-0.926
13:08.2,0.375,-0.07,-0.938
13:08.3,0.375,-0.063,-0.934
13:08.3,0.367,-0.059,-0.934
13:08.3,0.383,-0.074,-0.93
13:08.4,0.387,-0.07,-0.926
13:08.4,0.375,-0.066,-0.93
13:08.4,0.363,-0.063,-0.934
13:08.5,0.371,-0.059,-0.93
13:08.5,0.391,-0.059,-0.93
13:08.5,0.387,-0.063,-0.93
13:08.6,0.379,-0.063,-0.93
13:08.6,0.383,-0.074,-0.93
13:08.6,0.379,-0.066,-0.93
13:08.7,0.367,-0.066,-0.934
13:08.7,0.375,-0.063,-0.926
13:08.7,0.387,-0.074,-0.926
13:08.8,0.387,-0.078,-0.926
13:08.8,0.367,-0.063,-0.926
13:08.8,0.375,-0.059,-0.93
13:08.9,0.383,-0.063,-0.922
13:08.9,0.379,-0.063,-0.926
13:08.9,0.363,-0.07,-0.938
13:09.0,0.367,-0.07,-0.93
13:09.0,0.379,-0.063,-0.938
13:09.0,0.367,-0.059,-0.934
13:09.1,0.375,-0.055,-0.926
13:09.1,0.383,-0.059,-0.926
13:09.1,0.379,-0.066,-0.926
13:09.2,0.383,-0.066,-0.922
13:09.2,0.387,-0.074,-0.93
13:09.2,0.383,-0.066,-0.938
13:09.3,0.379,-0.059,-0.93
13:09.3,0.391,-0.059,-0.926
13:09.3,0.391,-0.066,-0.926
13:09.4,0.383,-0.066,-0.926
13:09.4,0.371,-0.066,-0.926
13:09.4,0.379,-0.074,-0.93
13:09.5,0.391,-0.059,-0.926
13:09.5,0.391,-0.047,-0.922
13:09.5,0.387,-0.063,-0.926
13:09.6,0.387,-0.063,-0.922
13:09.6,0.395,-0.07,-0.922
13:09.6,0.387,-0.07,-0.926
13:09.7,0.383,-0.066,-0.926
13:09.7,0.371,-0.063,-0.926
13:09.7,0.391,-0.066,-0.922
13:09.8,0.414,-0.074,-0.918
13:09.8,0.398,-0.063,-0.922
13:09.8,0.383,-0.063,-0.926
13:09.9,0.383,-0.059,-0.93
13:09.9,0.395,-0.066,-0.918
13:09.9,0.391,-0.063,-0.926
13:10.0,0.371,-0.063,-0.93
13:10.0,0.375,-0.051,-0.922
13:10.0,0.387,-0.063,-0.93
13:10.1,0.387,-0.063,-0.922
13:10.1,0.391,-0.063,-0.922
13:10.1,0.395,-0.066,-0.922
13:10.2,0.387,-0.059,-0.926
13:10.2,0.383,-0.055,-0.926
13:10.2,0.379,-0.063,-0.926
13:10.3,0.387,-0.066,-0.926
13:10.3,0.391,-0.066,-0.922
13:10.3,0.395,-0.059,-0.922
13:10.4,0.398,-0.063,-0.918
13:10.4,0.398,-0.063,-0.922
13:10.4,0.395,-0.063,-0.918
13:10.5,0.395,-0.07,-0.922
13:10.5,0.398,-0.051,-0.918
13:10.5,0.387,-0.055,-0.926
13:10.6,0.359,-0.063,-0.926
13:10.6,0.375,-0.074,-0.926
13:10.6,0.406,-0.074,-0.918
13:10.7,0.406,-0.063,-0.918
13:10.7,0.371,-0.055,-0.93
13:10.7,0.375,-0.063,-0.926
13:10.8,0.406,-0.074,-0.918
13:10.8,0.398,-0.059,-0.918
13:10.8,0.383,-0.063,-0.922
13:10.9,0.379,-0.066,-0.93
13:10.9,0.383,-0.066,-0.926
13:10.9,0.391,-0.063,-0.922
13:11.0,0.391,-0.066,-0.918
13:11.0,0.395,-0.051,-0.922
13:11.0,0.395,-0.066,-0.93
13:11.1,0.391,-0.063,-0.922
13:11.1,0.391,-0.066,-0.922
13:11.1,0.391,-0.063,-0.93
13:11.2,0.398,-0.066,-0.922
13:11.2,0.395,-0.066,-0.918
13:11.2,0.391,-0.063,-0.918
13:11.3,0.383,-0.066,-0.926
13:11.3,0.387,-0.066,-0.922
13:11.3,0.391,-0.074,-0.926
13:11.4,0.395,-0.063,-0.922
13:11.4,0.395,-0.055,-0.922
13:11.4,0.387,-0.066,-0.922
13:11.5,0.383,-0.066,-0.926
13:11.5,0.391,-0.051,-0.926
13:11.5,0.402,-0.07,-0.922
13:11.6,0.402,-0.059,-0.918
13:11.6,0.383,-0.063,-0.926
13:11.6,0.375,-0.066,-0.926
13:11.7,0.391,-0.066,-0.922
13:11.7,0.395,-0.082,-0.922
13:11.7,0.367,-0.066,-0.934
13:11.8,0.363,-0.051,-0.934
13:11.8,0.41,-0.055,-0.922
13:11.8,0.457,-0.063,-0.91
13:11.9,0.395,-0.066,-0.918
13:11.9,0.332,-0.059,-0.938
13:11.9,0.379,-0.055,-0.926
13:12.0,0.426,-0.078,-0.914
13:12.0,0.406,-0.066,-0.926
13:12.0,0.371,-0.07,-0.926
13:12.1,0.352,-0.059,-0.934
13:12.1,0.379,-0.059,-0.922
13:12.1,0.418,-0.074,-0.918
13:12.2,0.387,-0.07,-0.922
13:12.2,0.375,-0.063,-0.926
13:12.2,0.391,-0.059,-0.926
13:12.3,0.398,-0.074,-0.918
13:12.3,0.398,-0.07,-0.922
13:12.3,0.387,-0.063,-0.926
13:12.4,0.391,-0.059,-0.922
13:12.4,0.387,-0.059,-0.922
13:12.4,0.383,-0.063,-0.926
13:12.5,0.387,-0.066,-0.926
13:12.5,0.395,-0.059,-0.926
13:12.5,0.391,-0.059,-0.93
13:12.6,0.387,-0.063,-0.926
13:12.6,0.391,-0.07,-0.926
13:12.6,0.379,-0.055,-0.926
13:12.7,0.379,-0.063,-0.922
13:12.7,0.391,-0.063,-0.918
13:12.7,0.387,-0.066,-0.922
13:12.8,0.375,-0.063,-0.938
13:12.8,0.367,-0.059,-0.926
13:12.8,0.387,-0.063,-0.918
13:12.9,0.391,-0.07,-0.922
13:12.9,0.379,-0.066,-0.922
13:12.9,0.379,-0.063,-0.922
13:13.0,0.383,-0.063,-0.918
13:13.0,0.387,-0.047,-0.93
13:13.0,0.383,-0.063,-0.926
13:13.1,0.379,-0.063,-0.93
13:13.1,0.383,-0.066,-0.922
13:13.1,0.387,-0.066,-0.926
13:13.2,0.387,-0.059,-0.922
13:13.2,0.379,-0.063,-0.926
13:13.2,0.367,-0.059,-0.926
13:13.3,0.387,-0.063,-0.93
13:13.3,0.387,-0.066,-0.93
13:13.3,0.379,-0.063,-0.93
13:13.4,0.375,-0.066,-0.93
13:13.4,0.383,-0.066,-0.93
13:13.4,0.379,-0.066,-0.922
13:13.5,0.375,-0.063,-0.93
13:13.5,0.383,-0.051,-0.926
13:13.5,0.379,-0.063,-0.926
13:13.6,0.379,-0.063,-0.926
13:13.6,0.383,-0.07,-0.926
13:13.6,0.383,-0.063,-0.926
13:13.7,0.379,-0.059,-0.926
13:13.7,0.375,-0.055,-0.93
13:13.7,0.375,-0.059,-0.93
13:13.8,0.391,-0.066,-0.926
13:13.8,0.391,-0.078,-0.926
13:13.8,0.375,-0.066,-0.922
13:13.9,0.375,-0.059,-0.926
13:13.9,0.387,-0.066,-0.93
13:13.9,0.383,-0.063,-0.922
13:14.0,0.367,-0.063,-0.926
13:14.0,0.395,-0.055,-0.93
13:14.0,0.391,-0.066,-0.934
13:14.1,0.379,-0.059,-0.926
13:14.1,0.379,-0.063,-0.93
13:14.1,0.383,-0.07,-0.93
13:14.2,0.391,-0.063,-0.926
13:14.2,0.391,-0.063,-0.926
13:14.2,0.383,-0.063,-0.926
13:14.3,0.375,-0.063,-0.934
13:14.3,0.379,-0.063,-0.926
13:14.3,0.391,-0.07,-0.922
13:14.4,0.387,-0.059,-0.93
13:14.4,0.379,-0.059,-0.926
13:14.4,0.375,-0.066,-0.93
13:14.5,0.383,-0.066,-0.922
13:14.5,0.391,-0.059,-0.922
13:14.5,0.383,-0.066,-0.93
13:14.6,0.379,-0.066,-0.922
13:14.6,0.375,-0.059,-0.93
13:14.6,0.371,-0.066,-0.93
13:14.7,0.387,-0.066,-0.922
13:14.7,0.387,-0.066,-0.926
13:14.7,0.375,-0.066,-0.93
13:14.8,0.371,-0.059,-0.926
13:14.8,0.375,-0.059,-0.926
13:14.8,0.379,-0.063,-0.93
13:14.9,0.379,-0.066,-0.926
13:14.9,0.379,-0.066,-0.934
13:14.9,0.367,-0.066,-0.926
13:15.0,0.383,-0.063,-0.926
13:15.0,0.391,-0.051,-0.926
13:15.0,0.379,-0.059,-0.934
13:15.1,0.375,-0.066,-0.926
13:15.1,0.387,-0.063,-0.922
13:15.1,0.387,-0.059,-0.926
13:15.2,0.371,-0.07,-0.926
13:15.2,0.371,-0.059,-0.93
13:15.2,0.383,-0.059,-0.93
13:15.3,0.383,-0.063,-0.926
13:15.3,0.379,-0.063,-0.93
13:15.3,0.371,-0.063,-0.93
13:15.4,0.379,-0.066,-0.922
13:15.4,0.387,-0.063,-0.918
13:15.4,0.387,-0.063,-0.926
13:15.5,0.375,-0.059,-0.93
13:15.5,0.375,-0.055,-0.934
13:15.5,0.383,-0.066,-0.93
13:15.6,0.391,-0.07,-0.922
13:15.6,0.391,-0.066,-0.922
13:15.6,0.387,-0.066,-0.926
13:15.7,0.387,-0.059,-0.922
13:15.7,0.383,-0.063,-0.93
13:15.7,0.371,-0.066,-0.93
13:15.8,0.379,-0.063,-0.926
13:15.8,0.379,-0.059,-0.926
13:15.8,0.391,-0.07,-0.922
13:15.9,0.387,-0.059,-0.922
13:15.9,0.375,-0.059,-0.926
13:15.9,0.375,-0.063,-0.93
13:16.0,0.383,-0.07,-0.922
13:16.0,0.387,-0.059,-0.926
13:16.0,0.383,-0.066,-0.93
13:16.1,0.375,-0.059,-0.93
13:16.1,0.387,-0.063,-0.926
13:16.1,0.387,-0.063,-0.926
13:16.2,0.371,-0.059,-0.922
13:16.2,0.391,-0.063,-0.926
13:16.2,0.391,-0.07,-0.926
13:16.3,0.379,-0.066,-0.93
13:16.3,0.375,-0.066,-0.922
13:16.3,0.383,-0.07,-0.926
13:16.4,0.383,-0.066,-0.922
13:16.4,0.379,-0.063,-0.922
13:16.4,0.387,-0.066,-0.922
13:16.5,0.375,-0.063,-0.93
13:16.5,0.379,-0.047,-0.93
13:16.5,0.383,-0.063,-0.922
13:16.6,0.387,-0.066,-0.922
13:16.6,0.383,-0.063,-0.926
13:16.6,0.371,-0.059,-0.926
13:16.7,0.363,-0.059,-0.926
13:16.7,0.383,-0.059,-0.93
13:16.7,0.395,-0.066,-0.918
13:16.8,0.379,-0.074,-0.926
13:16.8,0.359,-0.059,-0.934
13:16.8,0.379,-0.066,-0.93
13:16.9,0.391,-0.066,-0.922
13:16.9,0.387,-0.066,-0.922
13:16.9,0.371,-0.066,-0.93
13:17.0,0.371,-0.063,-0.93
13:17.0,0.391,-0.047,-0.926
13:17.0,0.391,-0.066,-0.922
13:17.1,0.375,-0.059,-0.934
13:17.1,0.363,-0.059,-0.934
13:17.1,0.383,-0.066,-0.93
13:17.2,0.379,-0.066,-0.93
13:17.2,0.375,-0.063,-0.934
13:17.2,0.375,-0.066,-0.934
13:17.3,0.383,-0.063,-0.922
13:17.3,0.387,-0.07,-0.93
13:17.3,0.383,-0.066,-0.93
13:17.4,0.375,-0.063,-0.934
13:17.4,0.371,-0.059,-0.93
13:17.4,0.379,-0.063,-0.926
13:17.5,0.383,-0.066,-0.926
13:17.5,0.371,-0.059,-0.938
13:17.5,0.363,-0.063,-0.93
13:17.6,0.379,-0.059,-0.93
13:17.6,0.375,-0.055,-0.934
13:17.6,0.379,-0.063,-0.926
13:17.7,0.391,-0.066,-0.93
13:17.7,0.383,-0.063,-0.926
13:17.7,0.375,-0.059,-0.93
13:17.8,0.375,-0.063,-0.926
13:17.8,0.391,-0.066,-0.922
13:17.8,0.387,-0.066,-0.926
13:17.9,0.363,-0.063,-0.934
13:17.9,0.367,-0.066,-0.934
13:17.9,0.383,-0.063,-0.926
13:18.0,0.395,-0.07,-0.922
13:18.0,0.375,-0.055,-0.926
13:18.0,0.359,-0.059,-0.93
13:18.1,0.383,-0.063,-0.926
13:18.1,0.391,-0.066,-0.926
13:18.1,0.379,-0.066,-0.93
13:18.2,0.375,-0.059,-0.93
13:18.2,0.371,-0.063,-0.926
13:18.2,0.375,-0.059,-0.922
13:18.3,0.375,-0.063,-0.926
13:18.3,0.371,-0.063,-0.934
13:18.3,0.379,-0.066,-0.922
13:18.4,0.379,-0.066,-0.93
13:18.4,0.359,-0.059,-0.926
13:18.4,0.379,-0.059,-0.926
13:18.5,0.379,-0.063,-0.93
13:18.5,0.371,-0.051,-0.926
13:18.5,0.375,-0.066,-0.926
13:18.6,0.387,-0.063,-0.93
13:18.6,0.371,-0.059,-0.926
13:18.6,0.367,-0.059,-0.926
13:18.7,0.379,-0.07,-0.926
13:18.7,0.391,-0.07,-0.926
13:18.7,0.383,-0.066,-0.93
13:18.8,0.367,-0.059,-0.93
13:18.8,0.375,-0.059,-0.93
13:18.8,0.375,-0.063,-0.93
13:18.9,0.379,-0.063,-0.926
13:18.9,0.379,-0.07,-0.926
13:18.9,0.375,-0.063,-0.934
13:19.0,0.371,-0.059,-0.926
13:19.0,0.387,-0.055,-0.926
13:19.0,0.371,-0.063,-0.926
13:19.1,0.379,-0.066,-0.926
13:19.1,0.379,-0.066,-0.93
13:19.1,0.379,-0.063,-0.926
13:19.2,0.375,-0.059,-0.926
13:19.2,0.375,-0.063,-0.93
13:19.2,0.363,-0.063,-0.93
13:19.3,0.387,-0.07,-0.922
13:19.3,0.395,-0.07,-0.926
13:19.3,0.375,-0.063,-0.93
13:19.4,0.355,-0.055,-0.934
13:19.4,0.371,-0.059,-0.926
13:19.4,0.398,-0.07,-0.922
13:19.5,0.387,-0.063,-0.922
13:19.5,0.367,-0.055,-0.934
13:19.5,0.363,-0.059,-0.934
13:19.6,0.383,-0.055,-0.93
13:19.6,0.387,-0.066,-0.93
13:19.6,0.371,-0.063,-0.93
13:19.7,0.367,-0.059,-0.926
13:19.7,0.375,-0.066,-0.922
13:19.7,0.383,-0.059,-0.926
13:19.8,0.375,-0.059,-0.934
13:19.8,0.379,-0.07,-0.93
13:19.8,0.379,-0.066,-0.926
13:19.9,0.375,-0.066,-0.93
13:19.9,0.375,-0.066,-0.926
13:19.9,0.371,-0.055,-0.93
13:20.0,0.383,-0.066,-0.926
13:20.0,0.379,-0.059,-0.93
13:20.0,0.371,-0.059,-0.934
13:20.1,0.371,-0.063,-0.93
13:20.1,0.379,-0.055,-0.93
13:20.1,0.367,-0.055,-0.926
13:20.2,0.363,-0.063,-0.93
13:20.2,0.387,-0.066,-0.934
13:20.2,0.383,-0.063,-0.926
13:20.3,0.379,-0.063,-0.922
13:20.3,0.371,-0.07,-0.934
13:20.3,0.383,-0.066,-0.93
13:20.4,0.383,-0.063,-0.93
13:20.4,0.371,-0.063,-0.934
13:20.4,0.371,-0.063,-0.926
13:20.5,0.379,-0.066,-0.922
13:20.5,0.387,-0.063,-0.93
13:20.5,0.371,-0.059,-0.93
13:20.6,0.367,-0.055,-0.926
13:20.6,0.379,-0.066,-0.922
13:20.6,0.375,-0.074,-0.926
13:20.7,0.375,-0.066,-0.93
13:20.7,0.371,-0.059,-0.93
13:20.7,0.363,-0.059,-0.926
13:20.8,0.379,-0.063,-0.93
13:20.8,0.367,-0.059,-0.93
13:20.8,0.371,-0.063,-0.934
13:20.9,0.375,-0.066,-0.93
13:20.9,0.391,-0.07,-0.926
13:20.9,0.375,-0.063,-0.926
13:21.0,0.352,-0.055,-0.934
13:21.0,0.383,-0.055,-0.93
13:21.0,0.391,-0.07,-0.926
13:21.1,0.375,-0.063,-0.93
13:21.1,0.359,-0.055,-0.93
13:21.1,0.379,-0.059,-0.926
13:21.2,0.391,-0.059,-0.926
13:21.2,0.371,-0.066,-0.926
13:21.2,0.367,-0.066,-0.934
13:21.3,0.383,-0.059,-0.926
13:21.3,0.379,-0.066,-0.93
13:21.3,0.371,-0.066,-0.926
13:21.4,0.371,-0.063,-0.93
13:21.4,0.375,-0.063,-0.93
13:21.4,0.375,-0.063,-0.922
13:21.5,0.379,-0.063,-0.926
13:21.5,0.379,-0.051,-0.93
13:21.5,0.383,-0.063,-0.93
13:21.6,0.367,-0.059,-0.93
13:21.6,0.367,-0.059,-0.934
13:21.6,0.391,-0.066,-0.926
13:21.7,0.387,-0.059,-0.93
13:21.7,0.363,-0.059,-0.934
13:21.7,0.367,-0.066,-0.93
13:21.8,0.383,-0.066,-0.93
13:21.8,0.379,-0.059,-0.926
13:21.8,0.375,-0.07,-0.926
13:21.9,0.383,-0.063,-0.926
13:21.9,0.375,-0.059,-0.93
13:21.9,0.371,-0.066,-0.922
13:22.0,0.387,-0.066,-0.93
13:22.0,0.387,-0.066,-0.93
13:22.0,0.387,-0.066,-0.93
13:22.1,0.387,-0.066,-0.93
13:22.1,0.387,-0.066,-0.93
13:22.1,0.387,-0.066,-0.93
13:22.2,0.387,-0.066,-0.93
13:22.2,0.387,-0.066,-0.93
13:22.2,0.387,-0.066,-0.93
13:22.3,0.387,-0.066,-0.93
13:22.3,0.387,-0.066,-0.93
13:22.3,0.387,-0.066,-0.93
13:22.4,0.387,-0.066,-0.93
13:22.4,0.387,-0.066,-0.93
