Accelerometer X,Accelerometer Y,Accelerometer Z,Time(s)
-0.152,0.441,-0.906,1.947
-0.156,0.441,-0.906,1.958
-0.152,0.441,-0.906,1.969
-0.152,0.441,-0.902,1.98
-0.156,0.449,-0.902,1.991
-0.152,0.438,-0.902,2.002
-0.145,0.438,-0.906,2.013
-0.152,0.438,-0.906,2.024
-0.152,0.438,-0.906,2.035
-0.156,0.438,-0.906,2.046
-0.152,0.438,-0.902,2.057
-0.148,0.438,-0.902,2.068
-0.145,0.438,-0.902,2.079
-0.141,0.441,-0.898,2.09
-0.141,0.441,-0.898,2.101
-0.148,0.441,-0.902,2.112
-0.152,0.441,-0.906,2.123
-0.148,0.434,-0.918,2.134
-0.141,0.438,-0.918,2.145
-0.137,0.438,-0.914,2.156
-0.137,0.441,-0.91,2.167
-0.141,0.441,-0.91,2.178
-0.145,0.438,-0.91,2.189
-0.148,0.441,-0.902,2.2
-0.156,0.441,-0.902,2.211
-0.16,0.445,-0.902,2.222
-0.16,0.441,-0.902,2.233
-0.152,0.441,-0.902,2.244
-0.156,0.441,-0.902,2.255
-0.156,0.441,-0.902,2.266
-0.148,0.441,-0.902,2.277
-0.152,0.438,-0.902,2.288
-0.156,0.438,-0.902,2.299
-0.152,0.441,-0.906,2.31
-0.145,0.438,-0.906,2.321
-0.137,0.438,-0.906,2.332
-0.133,0.438,-0.902,2.343
-0.133,0.441,-0.902,2.354
-0.141,0.441,-0.906,2.365
-0.141,0.441,-0.902,2.376
-0.137,0.441,-0.906,2.387
-0.137,0.441,-0.902,2.398
-0.141,0.441,-0.902,2.409
-0.145,0.441,-0.902,2.42
-0.141,0.441,-0.902,2.431
-0.141,0.441,-0.902,2.442
-0.137,0.441,-0.902,2.453
-0.137,0.441,-0.906,2.464
-0.137,0.441,-0.906,2.475
-0.148,0.449,-0.906,2.486
-0.141,0.445,-0.898,2.497
-0.141,0.441,-0.902,2.508
-0.148,0.445,-0.902,2.519
-0.152,0.445,-0.898,2.53
-0.145,0.445,-0.902,2.541
-0.141,0.441,-0.902,2.552
-0.137,0.441,-0.902,2.563
-0.133,0.438,-0.902,2.574
-0.133,0.441,-0.898,2.585
-0.137,0.441,-0.902,2.596
-0.141,0.441,-0.902,2.607
-0.137,0.438,-0.906,2.618
-0.137,0.441,-0.906,2.629
-0.137,0.438,-0.902,2.64
-0.141,0.441,-0.902,2.651
-0.137,0.441,-0.902,2.662
-0.145,0.441,-0.902,2.673
-0.141,0.445,-0.906,2.684
-0.137,0.441,-0.906,2.695
-0.145,0.441,-0.902,2.706
-0.141,0.441,-0.906,2.717
-0.141,0.441,-0.906,2.728
-0.148,0.441,-0.906,2.739
-0.152,0.445,-0.906,2.75
-0.152,0.441,-0.906,2.761
-0.148,0.441,-0.906,2.772
-0.148,0.441,-0.902,2.783
-0.145,0.441,-0.902,2.794
-0.145,0.441,-0.902,2.805
-0.141,0.441,-0.898,2.816
-0.145,0.441,-0.902,2.827
-0.145,0.441,-0.902,2.838
